f_S[GHz],real(Zin),imag(Zin),,,
-8.25,7.43E-03,9.571,,,
-8.24,7.45E-03,9.583,,,
-8.23,7.46E-03,9.594,,,
-8.22,7.47E-03,9.606,,,
-8.21,7.49E-03,9.618,,,
-8.2,7.50E-03,9.63,,,
-8.19,7.52E-03,9.641,,,
-8.18,7.53E-03,9.653,,,
-8.17,7.55E-03,9.665,,,
-8.16,7.56E-03,9.677,,,
-8.15,7.58E-03,9.689,,,
-8.14,7.59E-03,9.701,,,
-8.13,7.61E-03,9.713,,,
-8.12,7.62E-03,9.725,,,
-8.11,7.64E-03,9.737,,,
-8.1,7.65E-03,9.749,,,
-8.09,7.67E-03,9.761,,,
-8.08,7.68E-03,9.773,,,
-8.07,7.70E-03,9.785,,,
-8.06,7.71E-03,9.797,,,
-8.05,7.73E-03,9.81,,,
-8.04,7.74E-03,9.822,,,
-8.03,7.76E-03,9.834,,,
-8.02,7.77E-03,9.847,,,
-8.01,7.79E-03,9.859,,,
-8,7.80E-03,9.871,,,
-7.99,7.82E-03,9.884,,,
-7.98,7.83E-03,9.896,,,
-7.97,7.85E-03,9.909,,,
-7.96,7.86E-03,9.921,,,
-7.95,7.88E-03,9.934,,,
-7.94,7.89E-03,9.946,,,
-7.93,7.91E-03,9.959,,,
-7.92,7.93E-03,9.971,,,
-7.91,7.94E-03,9.984,,,
-7.9,7.96E-03,9.997,,,
-7.89,7.97E-03,10.01,,,
-7.88,7.99E-03,10.02,,,
-7.87,8.00E-03,10.03,,,
-7.86,8.02E-03,10.05,,,
-7.85,8.04E-03,10.06,,,
-7.84,8.05E-03,10.07,,,
-7.83,8.07E-03,10.09,,,
-7.82,8.08E-03,10.1,,,
-7.81,8.10E-03,10.11,,,
-7.8,8.12E-03,10.13,,,
-7.79,8.13E-03,10.14,,,
-7.78,8.15E-03,10.15,,,
-7.77,8.17E-03,10.16,,,
-7.76,8.18E-03,10.18,,,
-7.75,8.20E-03,10.19,,,
-7.74,8.21E-03,10.2,,,
-7.73,8.23E-03,10.22,,,
-7.72,8.25E-03,10.23,,,
-7.71,8.26E-03,10.24,,,
