f_S[GHz],real(Zin),imag(Zin),,,,,
-9.17,4.07E-02,55.95,,,,,
-9.16,4.08E-02,56.01,,,,,
-9.15,4.08E-02,56.07,,,,,
-9.14,4.09E-02,56.14,,,,,
-9.13,4.10E-02,56.2,,,,,
-9.12,4.11E-02,56.26,,,,,
-9.11,4.11E-02,56.32,,,,,
-9.1,4.12E-02,56.38,,,,,
-9.09,4.13E-02,56.45,,,,,
-9.08,4.14E-02,56.51,,,,,
-9.07,4.14E-02,56.57,,,,,
-9.06,4.15E-02,56.63,,,,,
-9.05,4.16E-02,56.7,,,,,
-9.04,4.17E-02,56.76,,,,,
-9.03,4.17E-02,56.82,,,,,
-9.02,4.18E-02,56.89,,,,,
-9.01,4.19E-02,56.95,,,,,
-9,4.20E-02,57.01,,,,,
-8.99,4.20E-02,57.08,,,,,
-8.98,4.21E-02,57.14,,,,,
-8.97,4.22E-02,57.2,,,,,
-8.96,4.23E-02,57.27,,,,,
-8.95,4.24E-02,57.33,,,,,
-8.94,4.24E-02,57.4,,,,,
-8.93,4.25E-02,57.46,,,,,
-8.92,4.26E-02,57.52,,,,,
-8.91,4.27E-02,57.59,,,,,
-8.9,4.27E-02,57.65,,,,,
-8.89,4.28E-02,57.72,,,,,
-8.88,4.29E-02,57.78,,,,,
-8.87,4.30E-02,57.85,,,,,
-8.86,4.31E-02,57.92,,,,,
-8.85,4.31E-02,57.98,,,,,
-8.84,4.32E-02,58.05,,,,,
-8.83,4.33E-02,58.11,,,,,
-8.82,4.34E-02,58.18,,,,,
-8.81,4.35E-02,58.24,,,,,
-8.8,4.35E-02,58.31,,,,,
-8.79,4.36E-02,58.38,,,,,
-8.78,4.37E-02,58.44,,,,,
-8.77,4.38E-02,58.51,,,,,
-8.76,4.39E-02,58.58,,,,,
-8.75,4.39E-02,58.65,,,,,
-8.74,4.40E-02,58.71,,,,,
-8.73,4.41E-02,58.78,,,,,
-8.72,4.42E-02,58.85,,,,,
-8.71,4.43E-02,58.92,,,,,
-8.7,4.44E-02,58.98,,,,,
-8.69,4.44E-02,59.05,,,,,
-8.68,4.45E-02,59.12,,,,,
-8.67,4.46E-02,59.19,,,,,
-8.66,4.47E-02,59.26,,,,,
-8.65,4.48E-02,59.33,,,,,
-8.64,4.49E-02,59.39,,,,,
-8.63,4.49E-02,59.46,,,,,
-8.62,4.50E-02,59.53,,,,,
-8.61,4.51E-02,59.6,,,,,
-8.6,4.52E-02,59.67,,,,,
-8.59,4.53E-02,59.74,,,,,
-8.58,4.54E-02,59.81,,,,,
-8.57,4.54E-02,59.88,,,,,
-8.56,4.55E-02,59.95,,,,,
-8.55,4.56E-02,60.02,,,,,
-8.54,4.57E-02,60.09,,,,,
-8.53,4.58E-02,60.16,,,,,
-8.52,4.59E-02,60.23,,,,,
-8.51,4.60E-02,60.3,,,,,
-8.5,4.61E-02,60.38,,,,,
-8.49,4.61E-02,60.45,,,,,
-8.48,4.62E-02,60.52,,,,,
-8.47,4.63E-02,60.59,,,,,
-8.46,4.64E-02,60.66,,,,,
-8.45,4.65E-02,60.73,,,,,
-8.44,4.66E-02,60.81,,,,,
-8.43,4.67E-02,60.88,,,,,
-8.42,4.68E-02,60.95,,,,,
-8.41,4.68E-02,61.02,,,,,
